smiles,D
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2oc(-n3cnc([N+](=O)[O-])c3)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.23189
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Nc2cc([N+](=O)[O-])c([N+](=O)[O-])c(O)c2[N+](=O)[O-])c1[N+](=O)[O-],7.5974636
COCc1nc(N)c([N+](=O)[O-])cc1[N+](=O)[O-],6.528095
CCC(CN(CN(CCOC)[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9120226
O=C(CN(CCN(CN(CCO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.9853587
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],8.447681
O=[N+]([O-])c1cc([N+](=O)[O-])n(CCl)c1,6.9400206
O=CC(=O)C(=O)CO[N+](=O)[O-],7.018689
O=C(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])N(CCN(C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5275326
CN(CCN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.029799
O=[N+]([O-])N1CN(O)C2C1C1C2N([N+](=O)[O-])CN1[N+](=O)[O-],8.096618
CN(CCN(C(=O)OCC(C)(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.5775957
O=C(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])C(CCN[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.661186
O=[N+]([O-])c1ccc(-c2no[n+]([O-])c2-n2c([N+](=O)[O-])nnc2[N+](=O)[O-])c([N+](=O)[O-])c1,8.002181
CC(COC(=O)n1ccnn1)([N+](=O)[O-])[N+](=O)[O-],6.9782014
CC(CCNC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.139116
Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],7.637034
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1N1CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C2C1C1C2N([N+](=O)[O-])CN1[N+](=O)[O-],7.5810013
O=C(CN(CC(=O)O[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.348495
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cccc([N+](=O)[O-])c1[N+](=O)[O-],7.570369
CC(COC(=O)CCC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.4511027
O=[N+]([O-])OCCCC(CCN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.8671007
N#[N+]CCC(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.8920593
CC(C)(C)NC(=O)CCC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.049879
COC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.0142455
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.7072477
O=[N+]([O-])N1CN(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C1,8.729878
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.465491
CC(COCC(=O)[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.3723984
O=C(O[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.9191165
O=[N+]([O-])N1CN(O)N2N=CC=NCN2C1,7.0461903
O=[N+]([O-])OCC#CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.663639
O=C(C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.507946
O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5513654
O=[N+]([O-])N(CCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.699393
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nn2cnc([N+](=O)[O-])c2)c([N+](=O)[O-])c1,7.3703895
O=[N+]([O-])CCN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.6883674
O=[N+]([O-])OCCN1CCN(c2c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c2[N+](=O)[O-])C2N=CC([N+](=O)[O-])=CN3N(CO)CCN3C21,6.664515
NC(=O)[N+](=O)[O-],7.863083
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],8.358761
[O-][n+]1onc2c1-c1no[n+]([O-])c1-2,8.782636
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-n3ncc([N+](=O)[O-])n3)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.3739476
NC1=C([N+](=O)[O-])OC2=NN=C(c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])C2C([N+](=O)[O-])=C1[N+](=O)[O-],7.4953866
CN(CCN(C=O)[N+](=O)[O-])[N+](=O)[O-],7.043847
O=c1c2nnccn3c(nn3n2)c(=O)c2nn(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc12,7.2085404
CC(COC(CN[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.8407
CCOC(C(=O)O)c1nonc1N,6.5373964
CCN(C(=O)COC)[N+](=O)[O-],6.3082404
CC(CCC(=O)N(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.2739177
Nc1n[nH]c(CCN[N+](=O)[O-])c1[N+](=O)[O-],7.10636
O=C(N(CN(CCN(CCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.4413185
O=[N+]([O-])N(CCn1cnnc1)CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.802706
O=C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CN(CCN(CCCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.084999
N#CCN(CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.615361
O=C(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)C(CN[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.089357
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CN(C(=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.721512
O=[N+]([O-])NCCN1CN([N+](=O)[O-])C2C1C1N=NNC=C3N(CN3n3cc([N+](=O)[O-])cn3)C12,6.741462
CC(=O)CC(C)([N+](=O)[O-])[N+](=O)[O-],6.546657
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nn(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.4482393
NC1([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,8.177412
O=[N+]([O-])c1cc([N+](=O)[O-])c(N=Nc2nonc2-c2cnc([N+](=O)[O-])[nH]2)c([N+](=O)[O-])c1,7.410075
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C1NCNC(=N[N+](=O)[O-])N1,8.030028
O=[N+]([O-])N(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,8.544329
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nn(O)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.5177574
CN(CCN(CN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.561507
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(C(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],8.184115
O=C(C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.671598
O=C(CN(CCN(CC(=O)N(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.7664747
O=C(CN[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.287836
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc(-c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3[N+](=O)[O-])c([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.395499
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(NC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,8.229182
O=C(OC#COC(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,7.4995427
O=C(CN(CCC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.506381
COC(=O)C12N(OC)C(=O)N(C(=O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C1(C(=O)O)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-],8.011477
O=[N+]([O-])c1c(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])ncnc1Nc1cnon1,7.8590145
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2c([N+](=O)[O-])nnc2[N+](=O)[O-])c1[N+](=O)[O-],7.821155
CN(CC(CC(=O)[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.8935637
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c(-c2nonc2[N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.44542
O=[N+]([O-])c1cnn(-c2cccc(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)c1,7.0225735
CC(C)(CC(CO[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.9143834
O=[N+]([O-])c1ccc(Cc2n[nH]c(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,6.678852
CC(NN(C(=O)OCC(C)(C)[N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.4175897
O=C(O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.674644
CN(N1CN([N+](=O)[O-])C2C1C1C2N([N+](=O)[O-])CN1CC(C)(C)N)[N+](=O)[O-],6.4609227
CC(C)(N)CC(=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC(C)([N+](=O)[O-])[N+](=O)[O-],6.73637
O=[N+]([O-])c1nonc1C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.5162735
O=CC(=O)CC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.6943617
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.388105
CN(N(CC[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.203524
O=[N+]([O-])c1nonc1OCC(CO)([N+](=O)[O-])[N+](=O)[O-],8.30087
CC(C)(N)CCC(COCCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.644799
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nc([N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.461861
NC(=O)CNCNC(=O)C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.9226623
O=[N+]([O-])c1ccc(C#COc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,6.6393175
O=[N+]([O-])C1=NN=C([N+](=O)[O-])N2N(F)CN([N+](=O)[O-])CN2CN([N+](=O)[O-])C1,8.335406
O=[N+]([O-])C(CCC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.561
O=[N+]([O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC(CO)([N+](=O)[O-])[N+](=O)[O-],8.487369
O=[N+]([O-])OCCC(CN(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.459455
CCOC(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.366319
CN(C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.883227
O=[N+]([O-])c1nc(O)[nH]c1[N+](=O)[O-],8.239316
Cn1nc([N+](=O)[O-])c(O)c1[N+](=O)[O-],7.726703
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc(Nc3nc([N+](=O)[O-])c([N+](=O)[O-])cc3[N+](=O)[O-])nc(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,7.7257185
O=[N+]([O-])OCC1NCC([N+](=O)[O-])([N+](=O)[O-])CC1([N+](=O)[O-])[N+](=O)[O-],8.378076
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.53227
CC(COC(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.007867
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])[nH]2)c1[N+](=O)[O-],7.7492056
O=[N+]([O-])CCC(CCO[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.727612
O=C(NCCO[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.869969
CC(CN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.733572
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N([N+](=O)[O-])[N+](=O)[O-],8.526551
O=[N+]([O-])NCc1nc(-n2cc([N+](=O)[O-])cn2)c([N+](=O)[O-])cc1[N+](=O)[O-],7.3768272
CC(C)(C)NOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],6.8447943
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])c(N=Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],7.6609893
O=[N+]([O-])C1=CC([N+](=O)[O-])=C([N+](=O)[O-])NC2=NN=CC([N+](=O)[O-])=CN2C([N+](=O)[O-])=C1,7.5084743
CC(=O)OCC(CON(C)[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.1327276
O=[N+]([O-])NCN1CN([N+](=O)[O-])C2C1C1C2N([N+](=O)[O-])CN1O,7.7893157
O=C1NC2C=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C3N(CN3n3nnnc3[N+](=O)[O-])C2N1[N+](=O)[O-],7.514342
O=[N+]([O-])c1cnn(-c2nc([N+](=O)[O-])n(N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n2)c1,8.516249
CC(CCC(=O)C(=O)OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.81723
NC(=O)CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.9404526
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1-c1c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(CCN[N+](=O)[O-])c1[N+](=O)[O-],7.145811
CN(CCN(c1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.5044827
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCCON(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.3589945
O=[N+]([O-])OCCN(c1c([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],7.730974
CCC(CC(=O)NC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.7284355
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])nc1[N+](=O)[O-],8.575021
CC(=O)n1c([N+](=O)[O-])cc([N+](=O)[O-])nn2n(c1=O)C1C3C(C12)N(c1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-])C(=O)N3C(N)=O,7.1573315
O=[N+]([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])c(O)c1[N+](=O)[O-],8.711324
O=[N+]([O-])C(CNCNC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.765112
CC(NN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.267502
O=C(CN(C(=O)OCCO[N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.079411
COCC(=O)C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.5259995
CN(CCN(CC(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.6455336
O=[N+]([O-])c1ccc(-c2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,6.727173
O=[N+]([O-])c1ccc(COC#COC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,7.4530306
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cnn[nH]2)c([N+](=O)[O-])c1,7.155387
CC(NC(=O)O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.8136625
CCC(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.92213
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CN(NN(CCO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.332457
N#CCN(CN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.287341
COCNCNC(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.9973216
O=C(OCC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.502985
O=C(N(CCC(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.303698
COCC(=O)C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-],6.554631
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(COC(=O)N([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.343949
O=[N+]([O-])C(F)(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.282529
O=[N+]([O-])OCOCC(COCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.296752
O=C(OCCO[N+](=O)[O-])N(CCN(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.9276657
O=[N+]([O-])N(CC1NCC([N+](=O)[O-])([N+](=O)[O-])CC1([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.624916
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.399027
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c(-c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.651467
Cn1nc([N+](=O)[O-])c(-n2nnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c1[N+](=O)[O-],7.4167852
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],6.775123
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2nc(COCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(Cc3nc([N+](=O)[O-])c([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.4449487
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cc2nc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.1851444
O=C(O)C(C(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],8.354404
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc(-n3cc([N+](=O)[O-])cn3)c([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])c1,7.350993
O=C(CCO[N+](=O)[O-])CN[N+](=O)[O-],7.2506723
COCN(CN(CN(CCN(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7.2280703
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc([N+](=O)[O-])n(-c3c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,7.6844163
O=C(CCCO[N+](=O)[O-])NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],7.3694077
O=C(CN[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.442129
COCN1C(=O)N([N+](=O)[O-])C2(C)N3N=NC([N+](=O)[O-])=NC1(C)N([N+](=O)[O-])C(=O)N32,7.323275
O=C(CO[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],8.214353
O=[N+]([O-])c1ccc(Cc2ccc([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1,6.4478416
O=[N+]([O-])c1cnn(N=Nc2nc([N+](=O)[O-])nnc2[N+](=O)[O-])c1,7.898088
NC(=O)n1nc([N+](=O)[O-])cc1[N+](=O)[O-],7.8351293
O=[N+]([O-])c1cn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nn1,9.10556
Cn1ncnc1[N+](=O)[O-],7.2252674
O=[N+]([O-])c1cn(-c2nc([N+](=O)[O-])c([N+](=O)[O-])[nH]2)cn1,7.7951527
CCN(C(=O)C(=O)COC)[N+](=O)[O-],6.3926992
Nc1nonc1-c1nc([N+](=O)[O-])n[nH]1,7.9630775
